Y,X,fid,vertex_index,,,,,,Checked in QGIS for order,,,,
-36.19639056,149.6195549,3,13,,"lat_fire_start(3,13)=-36.1963905569511,lon_fire_start(3,13)=149.619554906671,",92,"lat_fire_start(3,92)=-36.1963905569511,lon_fire_start(3,92)=149.619554906671,",,,,,,
-36.19596862,149.6161794,3,14,,"lat_fire_start(3,14)=-36.1959686156994,lon_fire_start(3,14)=149.61617938114,",91,"lat_fire_start(3,91)=-36.1959686156994,lon_fire_start(3,91)=149.61617938114,",,,,,,
-36.19248761,149.6123819,3,15,,"lat_fire_start(3,15)=-36.1924876076565,lon_fire_start(3,15)=149.612381916598,",90,"lat_fire_start(3,90)=-36.1924876076565,lon_fire_start(3,90)=149.612381916598,",,,,,,
-36.19301503,149.6071077,3,16,,"lat_fire_start(3,16)=-36.1930150325403,lon_fire_start(3,16)=149.607107658796,",89,"lat_fire_start(3,89)=-36.1930150325403,lon_fire_start(3,89)=149.607107658796,",,,,,,
-36.19333149,149.6021499,3,17,,"lat_fire_start(3,17)=-36.1933314879188,lon_fire_start(3,17)=149.602149857492,",88,"lat_fire_start(3,88)=-36.1933314879188,lon_fire_start(3,88)=149.602149857492,",,,,,,
-36.19364794,149.5997237,3,18,,"lat_fire_start(3,18)=-36.1936479444178,lon_fire_start(3,18)=149.599723700338,",87,"lat_fire_start(3,87)=-36.1936479444178,lon_fire_start(3,87)=149.599723700338,",,,,,,
-36.19533571,149.5979305,3,19,,"lat_fire_start(3,19)=-36.1953357060629,lon_fire_start(3,19)=149.597930452819,",86,"lat_fire_start(3,86)=-36.1953357060629,lon_fire_start(3,86)=149.597930452819,",,,,,,
-36.19786735,149.5956098,3,20,,"lat_fire_start(3,20)=-36.1978673502114,lon_fire_start(3,20)=149.595609779297,",85,"lat_fire_start(3,85)=-36.1978673502114,lon_fire_start(3,85)=149.595609779297,",,,,,,
-36.19976608,149.5917068,3,21,,"lat_fire_start(3,21)=-36.1997660824823,lon_fire_start(3,21)=149.591706828882,",84,"lat_fire_start(3,84)=-36.1997660824823,lon_fire_start(3,84)=149.591706828882,",,,,,,
-36.19850026,149.5883313,3,22,,"lat_fire_start(3,22)=-36.1985002598478,lon_fire_start(3,22)=149.588331304471,",83,"lat_fire_start(3,83)=-36.1985002598478,lon_fire_start(3,83)=149.588331304471,",,,,,,
-36.19670701,149.58369,3,23,,"lat_fire_start(3,23)=-36.1967070134501,lon_fire_start(3,23)=149.583689958546,",82,"lat_fire_start(3,82)=-36.1967070134501,lon_fire_start(3,82)=149.583689958546,",,,,,,
-36.19417537,149.5779938,3,24,,"lat_fire_start(3,24)=-36.1941753693016,lon_fire_start(3,24)=149.577993759492,",81,"lat_fire_start(3,81)=-36.1941753693016,lon_fire_start(3,81)=149.577993759492,",,,,,,
-36.19301503,149.5729305,3,25,,"lat_fire_start(3,25)=-36.1930150325403,lon_fire_start(3,25)=149.572930474557,",80,"lat_fire_start(3,80)=-36.1930150325403,lon_fire_start(3,80)=149.572930474557,",,,,,,
-36.19069436,149.5707153,3,26,,"lat_fire_start(3,26)=-36.1906943601382,lon_fire_start(3,26)=149.570715285787,",79,"lat_fire_start(3,79)=-36.1906943601382,lon_fire_start(3,79)=149.570715285787,",,,,,,
-36.18899462,149.5696954,3,27,,"lat_fire_start(3,27)=-36.1889946214956,lon_fire_start(3,27)=149.569695442602,",78,"lat_fire_start(3,78)=-36.1889946214956,lon_fire_start(3,78)=149.569695442602,",,,,,,
-36.18911907,149.5694198,3,28,,"lat_fire_start(3,28)=-36.189119066186,lon_fire_start(3,28)=149.569419799103,",77,"lat_fire_start(3,77)=-36.189119066186,lon_fire_start(3,77)=149.569419799103,",,,,,,
-36.18929732,149.5694071,3,29,,"lat_fire_start(3,29)=-36.1892973216471,lon_fire_start(3,29)=149.56940713636,",76,"lat_fire_start(3,76)=-36.1892973216471,lon_fire_start(3,76)=149.56940713636,",,,,,,
-36.19071015,149.5674676,3,30,,"lat_fire_start(3,30)=-36.1907101490681,lon_fire_start(3,30)=149.567467565318,",75,"lat_fire_start(3,75)=-36.1907101490681,lon_fire_start(3,75)=149.567467565318,",,,,,,
-36.19106434,149.56639,3,31,,"lat_fire_start(3,31)=-36.191064337199,lon_fire_start(3,31)=149.566389967211,",74,"lat_fire_start(3,74)=-36.191064337199,lon_fire_start(3,74)=149.566389967211,",,,,,,
-36.19259309,149.5655465,3,32,,"lat_fire_start(3,32)=-36.1925930935296,lon_fire_start(3,32)=149.565546514979,",73,"lat_fire_start(3,73)=-36.1925930935296,lon_fire_start(3,73)=149.565546514979,",,,,,,
-36.19512474,149.5638588,3,33,,"lat_fire_start(3,33)=-36.1951247365576,lon_fire_start(3,33)=149.563858752213,",72,"lat_fire_start(3,72)=-36.1951247365576,lon_fire_start(3,72)=149.563858752213,",,,,,,
-36.19712895,149.5620655,3,34,,"lat_fire_start(3,34)=-36.1971289524607,lon_fire_start(3,34)=149.562065504695,",71,"lat_fire_start(3,71)=-36.1971289524607,lon_fire_start(3,71)=149.562065504695,",,,,,,
-36.19850026,149.5601668,3,35,,"lat_fire_start(3,35)=-36.1985002598478,lon_fire_start(3,35)=149.560166772424,",70,"lat_fire_start(3,70)=-36.1985002598478,lon_fire_start(3,70)=149.560166772424,",,,,,,
-36.19850026,149.5581626,3,36,,"lat_fire_start(3,36)=-36.1985002598478,lon_fire_start(3,36)=149.55816255428,",69,"lat_fire_start(3,69)=-36.1985002598478,lon_fire_start(3,69)=149.55816255428,",,,,,,
-36.19586313,149.5545761,3,37,,"lat_fire_start(3,37)=-36.1958631320672,lon_fire_start(3,37)=149.554576060364,",68,"lat_fire_start(3,68)=-36.1958631320672,lon_fire_start(3,68)=149.554576060364,",,,,,,
-36.19501705,149.5530791,3,38,,"lat_fire_start(3,38)=-36.1950170466659,lon_fire_start(3,38)=149.553079140728,",67,"lat_fire_start(3,67)=-36.1950170466659,lon_fire_start(3,67)=149.553079140728,",,,,,,
-36.19543959,149.5526177,3,39,,"lat_fire_start(3,39)=-36.1954395918657,lon_fire_start(3,39)=149.552617659361,",66,"lat_fire_start(3,66)=-36.1954395918657,lon_fire_start(3,66)=149.552617659361,",,,,,,
-36.19640533,149.5492656,3,40,,"lat_fire_start(3,40)=-36.1964053284693,lon_fire_start(3,40)=149.549265632903,",65,"lat_fire_start(3,65)=-36.1964053284693,lon_fire_start(3,65)=149.549265632903,",,,,,,
-36.19692578,149.547223,3,41,,"lat_fire_start(3,41)=-36.1969257771358,lon_fire_start(3,41)=149.547223042202,",64,"lat_fire_start(3,64)=-36.1969257771358,lon_fire_start(3,64)=149.547223042202,",,,,,,
-36.1969602,149.545606,3,42,,"lat_fire_start(3,42)=-36.1969601999387,lon_fire_start(3,42)=149.545605999635,",63,"lat_fire_start(3,63)=-36.1969601999387,lon_fire_start(3,63)=149.545605999635,",,,,,,
-36.19719677,149.5428922,3,43,,"lat_fire_start(3,43)=-36.1971967728113,lon_fire_start(3,43)=149.542892204055,",62,"lat_fire_start(3,62)=-36.1971967728113,lon_fire_start(3,62)=149.542892204055,",,,,,,
-36.19722021,149.5417897,3,44,,"lat_fire_start(3,44)=-36.197220205775,lon_fire_start(3,44)=149.541789668156,",61,"lat_fire_start(3,61)=-36.197220205775,lon_fire_start(3,61)=149.541789668156,",,,,,,
-36.19771399,149.5409966,3,45,,"lat_fire_start(3,45)=-36.1977139922041,lon_fire_start(3,45)=149.540996550912,",60,"lat_fire_start(3,60)=-36.1977139922041,lon_fire_start(3,60)=149.540996550912,",,,,,,
-36.19788309,149.5386483,3,46,,"lat_fire_start(3,46)=-36.1978830864779,lon_fire_start(3,46)=149.538648301946,",59,"lat_fire_start(3,59)=-36.1978830864779,lon_fire_start(3,59)=149.538648301946,",,,,,,
-36.19797193,149.5344586,3,47,,"lat_fire_start(3,47)=-36.1979719307225,lon_fire_start(3,47)=149.534458606143,",58,"lat_fire_start(3,58)=-36.1979719307225,lon_fire_start(3,58)=149.534458606143,",,,,,,
-36.19730634,149.5292884,3,48,,"lat_fire_start(3,48)=-36.1973063417773,lon_fire_start(3,48)=149.529288412303,",57,"lat_fire_start(3,57)=-36.1973063417773,lon_fire_start(3,57)=149.529288412303,",,,,,,
-36.19576858,149.5230606,3,49,,"lat_fire_start(3,49)=-36.1957685833699,lon_fire_start(3,49)=149.523060558487,",56,"lat_fire_start(3,56)=-36.1957685833699,lon_fire_start(3,56)=149.523060558487,",,,,,,
-36.19510944,149.5203916,3,50,,"lat_fire_start(3,50)=-36.1951094395261,lon_fire_start(3,50)=149.520391550312,",55,"lat_fire_start(3,55)=-36.1951094395261,lon_fire_start(3,55)=149.520391550312,",,,,,,
-36.19382891,149.5160846,3,51,,"lat_fire_start(3,51)=-36.1938289103623,lon_fire_start(3,51)=149.516084570918,",54,"lat_fire_start(3,54)=-36.1938289103623,lon_fire_start(3,54)=149.516084570918,",,,,,,
-36.19308377,149.5146633,3,52,,"lat_fire_start(3,52)=-36.1930837694578,lon_fire_start(3,52)=149.514663275898,",53,"lat_fire_start(3,53)=-36.1930837694578,lon_fire_start(3,53)=149.514663275898,",,,,,,
-36.19123751,149.5117358,3,53,,"lat_fire_start(3,53)=-36.1912375145656,lon_fire_start(3,53)=149.511735840668,",52,"lat_fire_start(3,52)=-36.1912375145656,lon_fire_start(3,52)=149.511735840668,",,,,,,
-36.19025709,149.51016,3,54,,"lat_fire_start(3,54)=-36.1902570927221,lon_fire_start(3,54)=149.510160025684,",51,"lat_fire_start(3,51)=-36.1902570927221,lon_fire_start(3,51)=149.510160025684,",,,,,,
-36.18813851,149.5088421,3,55,,"lat_fire_start(3,55)=-36.1881385098828,lon_fire_start(3,55)=149.508842108881,",50,"lat_fire_start(3,50)=-36.1881385098828,lon_fire_start(3,50)=149.508842108881,",,,,,,
-36.18619864,149.50753,3,56,,"lat_fire_start(3,56)=-36.1861986407882,lon_fire_start(3,56)=149.507529967122,",49,"lat_fire_start(3,49)=-36.1861986407882,lon_fire_start(3,49)=149.507529967122,",,,,,,
-36.18558592,149.5083194,3,57,,"lat_fire_start(3,57)=-36.1855859169136,lon_fire_start(3,57)=149.508319394569,",48,"lat_fire_start(3,48)=-36.1855859169136,lon_fire_start(3,48)=149.508319394569,",,,,,,
-36.18437587,149.5091633,3,58,,"lat_fire_start(3,58)=-36.1843758715229,lon_fire_start(3,58)=149.509163288277,",47,"lat_fire_start(3,47)=-36.1843758715229,lon_fire_start(3,47)=149.509163288277,",,,,,,
-36.18385112,149.5091465,3,59,,"lat_fire_start(3,59)=-36.1838511190256,lon_fire_start(3,59)=149.509146542442,",46,"lat_fire_start(3,46)=-36.1838511190256,lon_fire_start(3,46)=149.509146542442,",,,,,,
-36.18240938,149.503764,3,60,,"lat_fire_start(3,60)=-36.1824093760467,lon_fire_start(3,60)=149.5037640345,",45,"lat_fire_start(3,45)=-36.1824093760467,lon_fire_start(3,45)=149.5037640345,",,,,,,
-36.1741838,149.4890147,3,61,,"lat_fire_start(3,61)=-36.1741838029724,lon_fire_start(3,61)=149.489014732408,",44,"lat_fire_start(3,44)=-36.1741838029724,lon_fire_start(3,44)=149.489014732408,",,,,,,
-36.15829994,149.4735563,3,62,,"lat_fire_start(3,62)=-36.158299941164,lon_fire_start(3,62)=149.473556329093,",43,"lat_fire_start(3,43)=-36.158299941164,lon_fire_start(3,43)=149.473556329093,",,,,,,
-36.14667068,149.4670326,3,63,,"lat_fire_start(3,63)=-36.1466706844569,lon_fire_start(3,63)=149.467032600076,",42,"lat_fire_start(3,42)=-36.1466706844569,lon_fire_start(3,42)=149.467032600076,",,,,,,
-36.14440156,149.469869,3,64,,"lat_fire_start(3,64)=-36.144401560541,lon_fire_start(3,64)=149.46986900385,",41,"lat_fire_start(3,41)=-36.144401560541,lon_fire_start(3,41)=149.46986900385,",,,,,,
-36.13915421,149.4633453,3,65,,"lat_fire_start(3,65)=-36.1391542114857,lon_fire_start(3,65)=149.463345273713,",40,"lat_fire_start(3,40)=-36.1391542114857,lon_fire_start(3,40)=149.463345273713,",,,,,,
-36.1285177,149.4537015,3,66,,"lat_fire_start(3,66)=-36.1285176964917,lon_fire_start(3,66)=149.453701501553,",39,"lat_fire_start(3,39)=-36.1285176964917,lon_fire_start(3,39)=149.453701501553,",,,,,,
-36.12525583,149.4545524,3,67,,"lat_fire_start(3,67)=-36.1252558331037,lon_fire_start(3,67)=149.45455242078,",38,"lat_fire_start(3,38)=-36.1252558331037,lon_fire_start(3,38)=149.45455242078,",,,,,,
-36.12213579,149.4613598,3,68,,"lat_fire_start(3,68)=-36.1221357877194,lon_fire_start(3,68)=149.461359791407,",37,"lat_fire_start(3,37)=-36.1221357877194,lon_fire_start(3,37)=149.461359791407,",,,,,,
-36.12227761,149.4649053,3,69,,"lat_fire_start(3,69)=-36.1222776079641,lon_fire_start(3,69)=149.464905296405,",36,"lat_fire_start(3,36)=-36.1222776079641,lon_fire_start(3,36)=149.464905296405,",,,,,,
-36.12341217,149.4678835,3,70,,"lat_fire_start(3,70)=-36.1234121688016,lon_fire_start(3,70)=149.467883521545,",35,"lat_fire_start(3,35)=-36.1234121688016,lon_fire_start(3,35)=149.467883521545,",,,,,,
-36.12341217,149.4710036,3,71,,"lat_fire_start(3,71)=-36.1234121699221,lon_fire_start(3,71)=149.471003565808,",34,"lat_fire_start(3,34)=-36.1234121699221,lon_fire_start(3,34)=149.471003565808,",,,,,,
-36.11915756,149.4748327,3,72,,"lat_fire_start(3,72)=-36.1191575625799,lon_fire_start(3,72)=149.474832711296,",33,"lat_fire_start(3,33)=-36.1191575625799,lon_fire_start(3,33)=149.474832711296,",,,,,,
-36.12142669,149.4820655,3,73,,"lat_fire_start(3,73)=-36.1214266864957,lon_fire_start(3,73)=149.482065541537,",32,"lat_fire_start(3,32)=-36.1214266864957,lon_fire_start(3,32)=149.482065541537,",,,,,,
-36.12624857,149.4941203,3,74,,"lat_fire_start(3,74)=-36.1262485736963,lon_fire_start(3,74)=149.494120258978,",31,"lat_fire_start(3,31)=-36.1262485736963,lon_fire_start(3,31)=149.494120258978,",,,,,,
-36.12823406,149.4976658,3,75,,"lat_fire_start(3,75)=-36.1282340571227,lon_fire_start(3,75)=149.497665765096,",30,"lat_fire_start(3,30)=-36.1282340571227,lon_fire_start(3,30)=149.497665765096,",,,,,,
-36.12227761,149.4979494,3,76,,"lat_fire_start(3,76)=-36.1222776079641,lon_fire_start(3,76)=149.497949405586,",29,"lat_fire_start(3,29)=-36.1222776079641,lon_fire_start(3,29)=149.497949405586,",,,,,,
-36.12327035,149.5078768,3,77,,"lat_fire_start(3,77)=-36.1232703496773,lon_fire_start(3,77)=149.507876819356,",28,"lat_fire_start(3,28)=-36.1232703496773,lon_fire_start(3,28)=149.507876819356,",,,,,,
-36.11816482,149.5084441,3,78,,"lat_fire_start(3,78)=-36.1181648219872,lon_fire_start(3,78)=149.508444101456,",27,"lat_fire_start(3,27)=-36.1181648219872,lon_fire_start(3,27)=149.508444101456,",,,,,,
-36.11773936,149.5118478,3,79,,"lat_fire_start(3,79)=-36.117739361253,lon_fire_start(3,79)=149.511847786209,",26,"lat_fire_start(3,26)=-36.117739361253,lon_fire_start(3,26)=149.511847786209,",,,,,,
-36.12100123,149.5199315,3,80,,"lat_fire_start(3,80)=-36.1210012257615,lon_fire_start(3,80)=149.519931536798,",25,"lat_fire_start(3,25)=-36.1210012257615,lon_fire_start(3,25)=149.519931536798,",,,,,,
-36.12568129,149.5302844,3,81,,"lat_fire_start(3,81)=-36.1256812927174,lon_fire_start(3,81)=149.530284412423,",24,"lat_fire_start(3,24)=-36.1256812927174,lon_fire_start(3,24)=149.530284412423,",,,,,,
-36.1285177,149.5393609,3,82,,"lat_fire_start(3,82)=-36.1285176964917,lon_fire_start(3,82)=149.539360905845,",23,"lat_fire_start(3,23)=-36.1285176964917,lon_fire_start(3,23)=149.539360905845,",,,,,,
-36.13660145,149.5505647,3,83,,"lat_fire_start(3,83)=-36.1366014482008,lon_fire_start(3,83)=149.550564701818,",22,"lat_fire_start(3,22)=-36.1366014482008,lon_fire_start(3,22)=149.550564701818,",,,,,,
-36.13575053,149.5563793,3,84,,"lat_fire_start(3,84)=-36.1357505278529,lon_fire_start(3,84)=149.556379329611,",21,"lat_fire_start(3,21)=-36.1357505278529,lon_fire_start(3,21)=149.556379329611,",,,,,,
-36.13263048,149.5602085,3,85,,"lat_fire_start(3,85)=-36.1326304824686,lon_fire_start(3,85)=149.560208476219,",20,"lat_fire_start(3,20)=-36.1326304824686,lon_fire_start(3,20)=149.560208476219,",,,,,,
-36.13631781,149.5677249,3,86,,"lat_fire_start(3,86)=-36.1363178088318,lon_fire_start(3,86)=149.56772494807,",19,"lat_fire_start(3,19)=-36.1363178088318,lon_fire_start(3,19)=149.56772494807,",,,,,,
-36.13787783,149.5719796,3,87,,"lat_fire_start(3,87)=-36.1378778304035,lon_fire_start(3,87)=149.571979554291,",18,"lat_fire_start(3,18)=-36.1378778304035,lon_fire_start(3,18)=149.571979554291,",,,,,,
-36.13447415,149.5753832,3,88,,"lat_fire_start(3,88)=-36.1344741456502,lon_fire_start(3,88)=149.575383237924,",17,"lat_fire_start(3,17)=-36.1344741456502,lon_fire_start(3,17)=149.575383237924,",,,,,,
-36.12553947,149.5760923,3,89,,"lat_fire_start(3,89)=-36.1255394724727,lon_fire_start(3,89)=149.576092339148,",16,"lat_fire_start(3,16)=-36.1255394724727,lon_fire_start(3,16)=149.576092339148,",,,,,,
-36.12369581,149.5765178,3,90,,"lat_fire_start(3,90)=-36.123695809291,lon_fire_start(3,90)=149.576517801003,",15,"lat_fire_start(3,15)=-36.123695809291,lon_fire_start(3,15)=149.576517801003,",,,,,,
-36.12142669,149.5821906,3,91,,"lat_fire_start(3,91)=-36.1214266864957,lon_fire_start(3,91)=149.582190608551,",14,"lat_fire_start(3,14)=-36.1214266864957,lon_fire_start(3,14)=149.582190608551,",,,,,,
-36.12071759,149.586587,3,92,,"lat_fire_start(3,92)=-36.1207175863925,lon_fire_start(3,92)=149.586587035018,",13,"lat_fire_start(3,13)=-36.1207175863925,lon_fire_start(3,13)=149.586587035018,",,,,,,
-36.11859028,149.5867289,3,93,,"lat_fire_start(3,93)=-36.1185902827214,lon_fire_start(3,93)=149.586728855262,",12,"lat_fire_start(3,12)=-36.1185902827214,lon_fire_start(3,12)=149.586728855262,",,,,,,
